task.i,learner.i,resampling.i,iteration,start.time,end.time,process,classif.auc,classif.acc,classif.logloss,ROC_AUM,task_id,learner_id,resampling_id,test.subset,train.subsets,groups,test.fold,seed,n.train.groups
5,1,1,2,2025-07-31T03:02:47.348286Z,2025-07-31T14:28:33.098367Z,2,0.961554724030819,0.0101785416319039,0.739505977647672,2.27977557187842e-06,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,1,1,4,2025-07-31T03:02:47.348373Z,2025-07-31T14:11:28.700488Z,4,0.987531613555893,0.989984977466199,0.653515788572403,3.83525912184268e-05,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,1,1,6,2025-07-31T03:02:47.348438Z,2025-07-31T13:33:01.757846Z,137,0.96971851877705,0.00968927497494153,0.721115053422308,0.000125642662169412,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,1,1,7,2025-07-31T03:02:47.348413Z,2025-07-31T15:09:54.132617Z,135,0.985993228948083,0.5,0.688843709498636,7.67366946092807e-05,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,1,1,9,2025-07-31T03:02:47.349084Z,2025-07-31T14:54:56.742203Z,20,0.992073260552426,0.914671163575042,0.686220716989134,7.21245087333955e-05,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,1,1,11,2025-07-31T03:02:47.348875Z,2025-07-31T17:38:32.876987Z,10,0.987651509296166,0.5,0.689846491306494,6.67665954097174e-05,MNIST_seed1_prop0.01,conv_AUM_0.01,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,2,1,2,2025-07-31T03:02:47.349244Z,2025-07-31T04:38:25.133982Z,17,0.932125565148185,0.980977807442016,0.683741315967252,0.00027455814415589,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,2,1,4,2025-07-31T03:02:47.349242Z,2025-07-31T04:37:19.980811Z,15,0.871946833024223,0.771657486229344,0.687331506232171,0.000836219463963062,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,2,1,6,2025-07-31T03:02:47.348933Z,2025-07-31T04:10:40.527536Z,126,0.901097654613985,0.691613765452723,0.689971040823372,0.000466021418105811,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,2,1,7,2025-07-31T03:02:47.349282Z,2025-07-31T04:38:44.714867Z,19,0.93467265159331,0.631153068105192,0.68828784042071,0.000284898065729067,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,2,1,9,2025-07-31T03:02:47.349078Z,2025-07-31T04:27:58.570216Z,133,0.916710455596347,0.798988195615514,0.687877274959337,0.000372947630239651,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,2,1,11,2025-07-31T03:02:47.349078Z,2025-07-31T04:21:29.347324Z,127,0.935170985633931,0.622533310844999,0.687333813100923,0.000358623947249725,MNIST_seed1_prop0.01,linear_AUM_0.01,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,3,1,2,2025-07-31T03:02:47.349078Z,2025-07-31T09:54:58.192695Z,130,0.977446580369875,0.0101785416319039,0.755032553537051,3.26654139826132e-06,MNIST_seed1_prop0.01,conv_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,3,1,4,2025-07-31T03:02:47.349554Z,2025-07-31T21:06:48.028421Z,185,0.968316191760808,0.990151894508429,0.692018497003875,1.06305458302813e-06,MNIST_seed1_prop0.01,conv_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,3,1,6,2025-07-31T03:02:47.349550Z,2025-07-31T12:41:09.248946Z,182,0.979028514588859,0.00968927497494153,0.734635384751191,6.82833779137582e-05,MNIST_seed1_prop0.01,conv_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,3,1,7,2025-07-31T03:02:47.349330Z,2025-07-31T17:20:30.446802Z,192,0.974982767157931,0.5,0.694009105550663,3.28776081914839e-06,MNIST_seed1_prop0.01,conv_AUM_0.1,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,4,1,2,2025-07-31T03:02:47.349971Z,2025-07-31T04:58:38.308085Z,43,0.890687352840389,0.393792758217921,0.712929423800173,0.00637000892311335,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,4,1,4,2025-07-31T03:02:47.350030Z,2025-07-31T05:44:35.188647Z,37,0.892196369358734,0.364713737272576,0.722333133898928,0.00703144166618586,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,4,1,6,2025-07-31T03:02:47.349834Z,2025-07-31T03:50:16.764871Z,11,0.928544836893291,0.780654861343134,0.668188774930882,0.00319869327358902,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,4,1,7,2025-07-31T03:02:47.350038Z,2025-07-31T03:50:22.881598Z,3,0.893811676182621,0.715863115306811,0.652986652712655,0.00518776383250952,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,4,1,9,2025-07-31T03:02:47.350164Z,2025-07-31T04:07:28.280606Z,183,0.921007680954588,0.75885328836425,0.644355147665205,0.00437606358900666,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,4,1,11,2025-07-31T03:02:47.350754Z,2025-07-31T04:14:33.478490Z,99,0.910513630954432,0.781413391803002,0.64988485536912,0.00433120643720031,MNIST_seed1_prop0.01,linear_AUM_0.1,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,5,1,2,2025-07-31T03:02:47.350754Z,2025-07-31T16:35:17.739360Z,107,0.97438040967025,0.989821458368096,0.637432699812296,1.17920012598916e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,5,1,4,2025-07-31T03:02:47.350754Z,2025-07-31T12:18:17.621826Z,103,0.984127184847974,0.0100150225338007,0.741357341225589,2.86962040263461e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,5,1,6,2025-07-31T03:02:47.350934Z,2025-07-31T16:18:12.935883Z,113,0.98596665735958,0.990310725025059,0.629905982361167,2.15995896724053e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,5,1,7,2025-07-31T03:02:47.350033Z,2025-07-31T17:51:36.078188Z,193,0.986361828186291,0.5,0.693251670012518,1.88654939847766e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,5,1,9,2025-07-31T03:02:47.350512Z,2025-07-31T15:23:58.774361Z,184,0.947979661537499,0.5,0.693590684321929,9.23301013244782e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,balanced,same,23721,2,1,23721
5,5,1,11,2025-07-31T03:02:47.351289Z,2025-07-31T16:35:42.065471Z,66,0.991385766596978,0.5,0.693808993231665,1.35107211463037e-06,MNIST_seed1_prop0.01,conv_AUM_1,same_other_sizes_cv,balanced,same,23721,3,1,23721
5,6,1,2,2025-07-31T03:02:47.351283Z,2025-07-31T04:18:03.439336Z,78,0.941528580745719,0.786584348406474,0.512030521723643,0.0236781090497971,MNIST_seed1_prop0.01,linear_AUM_1,same_other_sizes_cv,unbalanced,other,23721,1,1,23721
5,6,1,4,2025-07-31T03:02:47.351320Z,2025-07-31T04:17:12.358305Z,80,0.957224751306694,0.686863628776498,0.62107092341361,0.0191727336496115,MNIST_seed1_prop0.01,linear_AUM_1,same_other_sizes_cv,unbalanced,other,23721,2,1,23721
5,6,1,6,2025-07-31T03:02:47.350669Z,2025-07-31T04:33:05.846232Z,186,0.946440620782729,0.777480788506515,0.512977658471839,0.0219650380313396,MNIST_seed1_prop0.01,linear_AUM_1,same_other_sizes_cv,unbalanced,other,23721,3,1,23721
5,6,1,7,2025-07-31T03:02:47.350904Z,2025-07-31T03:54:52.336443Z,22,0.940267314800374,0.852326365475388,0.42844253903576,0.0235848687589169,MNIST_seed1_prop0.01,linear_AUM_1,same_other_sizes_cv,balanced,same,23721,1,1,23721
5,6,1,9,2025-07-31T03:02:47.350864Z,2025-07-31T03:40:56.136534Z,7,0.865997372379845,0.768887015177066,0.488317634563512,0.0499342642724514,MNIST_seed1_prop0.01,linear_AUM_1,same_other_sizes_cv,balanced,same,23721,2,1,23721
